problem,m,iterations,runtime,grad_norm,converged,exit_code
random_quartic_10,25,17,0.0012292861938476562,1.2683902630344003e-07,True,Convergence
rosenbrock_20d,1,243,0.023254871368408203,2.26768302820657e-05,True,Convergence
rosenbrock_20d,2,191,0.01878523826599121,2.0388452249356252e-05,True,Convergence
rosenbrock_20d,3,169,0.01714015007019043,1.622280234430247e-05,True,Convergence
rosenbrock_20d,4,140,0.014936208724975586,1.4845819377419861e-05,True,Convergence
rosenbrock_20d,5,133,0.014721870422363281,1.1807545345916715e-05,True,Convergence
rosenbrock_20d,6,130,0.015208005905151367,1.4898287449231625e-05,True,Convergence
rosenbrock_20d,7,126,0.015322446823120117,5.1321074965403e-05,True,Convergence
rosenbrock_20d,8,124,0.01648116111755371,3.027329267815023e-05,True,Convergence
rosenbrock_20d,9,124,0.01602029800415039,1.9558142429242074e-05,True,Convergence
rosenbrock_20d,10,121,0.016015052795410156,1.514942540800171e-05,True,Convergence
rosenbrock_20d,11,118,0.016030550003051758,1.2058183368554277e-05,True,Convergence
rosenbrock_20d,12,118,0.016950368881225586,1.9830844138937893e-05,True,Convergence
rosenbrock_20d,13,119,0.01745772361755371,9.719715806878944e-06,True,Convergence
rosenbrock_20d,14,119,0.018550634384155273,1.2559049733017283e-05,True,Convergence
rosenbrock_20d,15,118,0.018198013305664062,3.9031033383208076e-05,True,Convergence
rosenbrock_20d,16,115,0.017427682876586914,3.6397757983467696e-05,True,Convergence
rosenbrock_20d,17,115,0.017882108688354492,6.623406499567006e-06,True,Convergence
rosenbrock_20d,18,116,0.018814802169799805,4.311424610226735e-06,True,Convergence
rosenbrock_20d,19,116,0.018994808197021484,1.8733870970887723e-05,True,Convergence
rosenbrock_20d,20,114,0.019728899002075195,1.073831094829342e-05,True,Convergence
rosenbrock_20d,21,113,0.01964592933654785,1.1534887512069489e-05,True,Convergence
rosenbrock_20d,22,116,0.02115154266357422,1.2260701346649032e-05,True,Convergence
rosenbrock_20d,23,110,0.02065253257751465,6.730805931006978e-06,True,Convergence
rosenbrock_20d,24,112,0.021413087844848633,1.79269516473945e-05,True,Convergence
rosenbrock_20d,25,113,0.021158218383789062,4.634537848731849e-06,True,Convergence
powell_singular,1,162,0.005950450897216797,7.078276544251999e-06,True,Convergence
powell_singular,2,104,0.004190921783447266,2.4252023056780917e-06,True,Convergence
powell_singular,3,86,0.0037856101989746094,5.053854138804896e-06,True,Convergence
powell_singular,4,44,0.00199127197265625,2.753881936976808e-06,True,Convergence
powell_singular,5,39,0.0018088817596435547,4.6004415403369585e-06,True,Convergence
powell_singular,6,37,0.0018494129180908203,1.2568392377393925e-06,True,Convergence
powell_singular,7,42,0.0022735595703125,3.0703513546112273e-07,True,Convergence
powell_singular,8,39,0.002225160598754883,2.923688843937281e-06,True,Convergence
powell_singular,9,42,0.003637552261352539,5.452214829905954e-07,True,Convergence
powell_singular,10,37,0.0023882389068603516,3.2941787748894185e-07,True,Convergence
powell_singular,11,48,0.003293752670288086,3.693867387884652e-07,True,Convergence
powell_singular,12,44,0.0032415390014648438,9.820408084095656e-06,True,Convergence
powell_singular,13,43,0.003136157989501953,8.494975470101681e-07,True,Convergence
powell_singular,14,43,0.0031926631927490234,1.4548428262357762e-06,True,Convergence
powell_singular,15,41,0.0031745433807373047,2.216327496591715e-06,True,Convergence
powell_singular,16,43,0.0035037994384765625,3.900742549722738e-07,True,Convergence
powell_singular,17,42,0.0035295486450195312,1.1192052194417635e-06,True,Convergence
powell_singular,18,43,0.0036470890045166016,9.254545601033336e-07,True,Convergence
